SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-20-2017,Single Family Residential,1305 Hamilton St NW,Washington,DC,20011,625000,3,2.0,16th Street Heights,1621,6108,1937,28,386,,Sold,,,http://www.redfin.com/DC/Washington/1305-Hamilton-St-NW-20011/home/10024760,MRIS,DC9989594,N,Y,38.9531397,-77.0303282
PAST SALE,October-2-2017,Single Family Residential,1217 Hamilton St NW,Washington,DC,20011,650000,3,1.5,16th Street Heights,1372,5574,1922,16,474,,Sold,,,http://www.redfin.com/DC/Washington/1217-Hamilton-St-NW-20011/home/10035578,MRIS,DC10047601,N,Y,38.9531067,-77.0286756
PAST SALE,October-3-2017,Single Family Residential,5412 1st St NW,Washington,DC,20011,570000,3,3.0,Petworth,1800,3833,1932,15,317,,Sold,,,http://www.redfin.com/DC/Washington/5412-1st-St-NW-20011/home/10069147,MRIS,DC10047895,N,Y,38.9562779,-77.0118554
PAST SALE,October-4-2017,Condo/Co-op,3895 Rodman St NW Unit B74,Washington,DC,20016,600000,3,2.0,Cleveland Park,1598,,1942,14,375,805,Sold,,,http://www.redfin.com/DC/Washington/3895-Rodman-St-NW-20016/unit-B74/home/9968399,MRIS,DC10050568,N,Y,38.939353,-77.077251
PAST SALE,October-4-2017,Condo/Co-op,2125 14th St NW Unit 326W,Washington,DC,20009,1149000,3,2.5,Logan / 14th Street,1500,,2007,14,766,630,Sold,,,http://www.redfin.com/DC/Washington/2125-14th-St-NW-20009/unit-326W/home/12534181,MRIS,DC10003760,N,Y,38.9186299,-77.0315189
PAST SALE,September-6-2017,Single Family Residential,6931 33rd St NW,Washington,DC,20015,797500,3,2.5,Chevy Chase,1883,8100,1952,42,424,,Sold,,,http://www.redfin.com/DC/Washington/6931-33rd-St-NW-20015/home/9996650,MRIS,DC9972636,N,Y,38.9806252,-77.058426
PAST SALE,August-31-2017,Single Family Residential,7002 5th St NW,Washington,DC,20012,685000,3,2.5,Brightwood,1616,7980,1948,48,424,,Sold,,,http://www.redfin.com/DC/Washington/7002-5th-St-NW-20012/home/10054550,MRIS,DC9714808,N,Y,38.9751267,-77.0201669
PAST SALE,September-8-2017,Single Family Residential,3812 Brandywine St NW,Washington,DC,20016,757000,3,2.0,Tenleytown,1986,3387,1890,40,381,,Sold,,,http://www.redfin.com/DC/Washington/3812-Brandywine-St-NW-20016/home/9968947,MRIS,DC10022560,N,Y,38.9495046,-77.0752265
PAST SALE,,Single Family Residential,6526 5th St NW,Washington,DC,20012,425000,3,1.5,,1502,3075,1937,,283,,,,,http://www.redfin.com/DC/Washington/6526-5th-St-NW-20012/home/10054731,,,N,Y,38.9695915,-77.0201257
PAST SALE,September-8-2017,Single Family Residential,4315 Argyle Ter NW,Washington,DC,20011,995000,3,3.0,Crestwood,2678,11423,1934,40,372,,Sold,,,http://www.redfin.com/DC/Washington/4315-Argyle-Ter-NW-20011/home/10012266,MRIS,DC9964584,N,Y,38.9436472,-77.0422071
