"","SALE.TYPE","SOLD.DATE","PROPERTY.TYPE","ADDRESS","CITY","STATE","ZIP","PRICE","BEDS","BATHS","LOCATION","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","DAYS.ON.MARKET","X..SQUARE.FEET","HOA.MONTH","URL..SEE.http...www.redfin.com.buy.a.home.comparative.market.analysis.FOR.INFO.ON.PRICING.","SOURCE","MLS.","LATITUDE","LONGITUDE","dist"
"2069","PAST SALE",2017-08-11,"Townhouse","44 Quincy Pl NE","Washington","DC",20002,675000,3,1.5,"Eckington",1936,1800,1900,69,349,NA,"http://www.redfin.com/DC/Washington/44-Quincy-Pl-NE-20002/home/10072808","MRIS","DC9973441",38.9120402,-77.0072405,0.389690668254687
"2070","PAST SALE",2017-08-18,"Townhouse","1114 6th St NE","Washington","DC",20002,840000,3,2.5,"Old City #1",2000,2000,1890,62,420,NA,"http://www.redfin.com/DC/Washington/1114-6th-St-NE-20002/home/9896436","MRIS","DC10017513",38.9043284,-76.9986728,0.32343379993321
"2071","PAST SALE",2017-07-31,"Townhouse","416 13th St SE","Washington","DC",20003,1250000,3,4.5,"Capitol Hill",1888,1280,2017,80,662,181,"http://www.redfin.com/DC/Washington/416-13th-St-SE-20003/home/109243204","MRIS","DC9854887",38.8838879,-76.9878826,0.221979073144982
"2072","PAST SALE",2017-08-23,"Townhouse","1221 Oates St NE","Washington","DC",20002,600000,3,3,"Trinidad",2100,3750,1938,57,286,NA,"http://www.redfin.com/DC/Washington/1221-Oates-St-NE-20002/home/10096354","MRIS","DC9996294",38.9049909,-76.9876548,0.857049409655505
"2073","PAST SALE",NA,"Townhouse","1825 Otis St NE","Washington","DC",20018,325000,3,1,"",1244,2974,1929,NA,261,NA,"http://www.redfin.com/DC/Washington/1825-Otis-St-NE-20018/home/10101922","","",38.934806,-76.978585,0.861225429367853
"2074","PAST SALE",2017-07-28,"Townhouse","20 Keiths Ln","Alexandria","VA",22314,1178000,3,3.5,"Fords Landing",2660,1055,1998,83,443,241,"http://www.redfin.com/VA/Alexandria/20-Keith-s-Ln-22314/home/11873182","MRIS","AX9952566",38.7975417,-77.0409356,1.21859636310871
"2075","PAST SALE",2017-08-24,"Townhouse","816 Rivergate Pl","Alexandria","VA",22314,1125000,3,3.5,"Rivergate",2442,1727,1995,56,461,200,"http://www.redfin.com/VA/Alexandria/816-Rivergate-Pl-22314/home/11871433","MRIS","AX9985917",38.812844,-77.038969,0.781277689343298
"2076","PAST SALE",NA,"Single Family Residential","2303 Ashboro Dr","Chevy Chase","MD",20815,750000,4,3,"",2310,6308,1951,NA,325,NA,"http://www.redfin.com/MD/Chevy-Chase/2303-Ashboro-Dr-20815/home/11000110","","",38.991428,-77.0484759,0.887295398092203
"2077","PAST SALE",2017-08-18,"Single Family Residential","3123 Newton St NE","Washington","DC",20018,447000,4,3.5,"Woodridge",1653,8253,1925,62,270,NA,"http://www.redfin.com/DC/Washington/3123-Newton-St-NE-20018/home/10105625","MRIS","DC9928776",38.9339299,-76.9646362,1.4992986354146
"2078","PAST SALE",NA,"Single Family Residential","5113 34th St NW","Washington","DC",20008,1120000,3,3,"",1740,6848,1950,NA,644,NA,"http://www.redfin.com/DC/Washington/5113-34th-St-NW-20008/home/9981110","","",38.9562001,-77.066433,0.81176333779613
